STATES,BASIN,LATITUDE,LONGTITUDE,WKA,STA No.,RIVER,SMP-DAT,DO (% Sat) ,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3- (mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml),DO INDEX,BOD INDEX,COD INDEX,AN INDEX,SS INDEX,PH INDEX,WQI,CLASS
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,06-Apr-16,64.9,4.96,7,18,48,7.64,0.28,29.38,183,0.08,68.4,98,146,7.171,11,<0.01,0.006357696,<0.0002,<0.001,<0.001,<0.01,<0.01,17.378,0.197,5.069,1.124,10.066,<1,<0.05,2900,84000,71.2934102,72.78866871,75.16,71.52,72.88305864,95.39992,75.37727708,III
SELANGOR,LANGAT,02 51 898,101 26 249,19,1L01,LANGAT,05-May-16,59.7,4.14,8,21,68,7.14,0.42,31.54,17491,10.22,74,14000,14068,0.947,6090,0.025,0.002755218,<0.0002,0.001353162,<0.001,<0.01,0.035020982,130.298,<0.01,122.165,376.268,3030,<1,<0.05,500,4600000,63.9724654,68.75593348,73.23136262,65.88231758,64.96985464,98.90942,71.00124255,III
SELANGOR,LANGAT,02 48 915,101 30 727,19,1L02,LANGAT,05-May-16,36.1,2.70,17,48,247,7.16,0.55,30.62,242,0.11,291.2,187,434,1.383,49.199,0.029,0.003717013,<0.0002,<0.001,<0.001,<0.01,0.028143166,14.799,0.125,6.226,5.081,32.626,<1,<0.05,1500,79000,29.2921238,40.69927348,46.55891631,61.44287231,44.11671749,98.82712,49.76091585,IV
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,05-May-16,67.1,5.05,10,23,67,7.32,0.53,30.34,164,0.08,135.3,95,162,1.544,47.075,0.032,0.003328043,<0.0002,<0.001,<0.001,<0.01,0.018818056,13.913,0.125,5.934,4.512,31.236,<1,<0.05,1200,53000,74.2549578,61.31057952,70.86165832,61.92626354,65.33747683,97.99448,70.82523958,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,05-May-16,61.2,4.58,16,45,121,7.35,1.41,30.54,202,0.09,124.7,143,264,0.057,10.874,0.085,0.004392315,<0.0002,<0.001,<0.001,<0.01,0.016449161,18.307,0.075,4.798,1.672,11.081,<1,<0.05,NA,NA,66.1240144,43.19655446,49.0169006,38.95330836,56.68810777,97.803875,57.24689111,III
SELANGOR,LANGAT,03 10 044,101 51 034,19,1L07,LANGAT,08-May-16,103.7,8.09,3,6,10,7.86,0.09,28.23,49,0.02,10.3,25,35,0.035,1.698,0.037,0.002896848,0.000321786,<0.001,<0.001,<0.01,<0.01,1.907,0.787,2.398,0.622,2.996,<1,<0.05,4700,166000,100,87.71,91.12,91.365,91.62683962,92.89742,92.75683474,II
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,05-May-16,55.3,4.14,20,48,76,7.31,0.32,30.57,199,0.09,138.1,107,183,0.02,10.137,<0.01,0.004682133,<0.0002,<0.001,<0.001,<0.01,0.017582553,19.248,0.065,4.711,1.416,10.655,<1,<0.05,400000,1330000000,57.5252246,33.95007704,46.55891631,69.85203084,62.1285906,98.055595,58.74054118,III
SELANGOR,LANGAT,03 06 677,101 49 009,19,1L16,LANGAT,08-May-16,91.1,7.16,9,25,34,7.91,0.28,27.8,68,0.03,67.1,32,66,0.151,3.935,0.087,0.003924884,<0.0002,<0.001,<0.001,<0.01,0.01217106,2.642,0.754,3.057,0.542,4.571,<1,<0.05,35000,420000,97.3696938,64.93365799,68.56273367,71.31,79.17942196,92.246995,79.16361196,II
SELANGOR,LANGAT,02 48 922,101 30 800,19,1L02,LANGAT,08-Jun-16,39.8,3.06,15,45,100,6.06,0.93,28.93,227,0.11,91.4,153,253,0.775,15.169,0.014,0.001205133,<0.0002,<0.001,<0.001,<0.01,0.014227158,16.484,0.115,5.201,3.804,10.281,<1,0.075136,100,7600,34.5172416,45.82937919,49.0169006,49.8724577,54.59313307,91.783588,51.3738798,IV
SELANGOR,LANGAT,02 51 267,101 40 877,19,1L03,LANGAT,08-Jun-16,70.0,5.26,10,22,432,7.09,0.28,30.27,216,0.1,89.9,147,579,1.214,14.48,0.014,0.003375196,<0.0002,<0.001,<0.001,<0.01,0.012409873,18.873,0.013,4.531,1.616,11.595,<1,0.089588,1200,56000,78.005,61.31057952,72.03752356,71.52,29.08919225,99.093995,67.60966404,III
SELANGOR,LANGAT,02 59 641,101 47 065,19,1L05,LANGAT,08-Jun-16,60.8,4.70,18,47,219,7.31,0.50,28.75,150,0.07,132.5,79,298,0.802,2.158,0.031,0.003172844,<0.0002,<0.001,<0.001,<0.01,<0.01,16.022,0.159,2.941,0.895,5.795,<1,0.077974,52000,590000,65.5530576,38.33028263,47.36604147,62.94179352,46.72784523,98.055595,57.96738867,III
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,08-Jun-16,64.1,4.96,19,58,239,7.17,0.54,29.09,149,0.07,154.7,81,320,1.019,3.311,0.016,0.00292162,<0.0002,<0.001,<0.001,<0.01,<0.01,16.526,0.133,2.771,0.868,5.666,<1,0.073642,24000,5200000,70.1943558,36.08271649,39.11512654,61.54608271,44.85276979,98.784155,56.81934883,III
SELANGOR,LANGAT,02 51 898,101 26 249,19,1L01,LANGAT,01-Jul-16,59.3,4.26,16,45,9,7.02,0.68,30.79,12604,7.17,5.4,8000,8009,0.49,4120,0.08,0.001352291,0.000453799,0.001361259,0.007387945,<0.01,0.013105988,106.98,<0.01,92.488,264,2130,<1,<0.05,600,11600,63.3941286,43.19655446,49.0169006,57.06626193,92.19494389,99.30158,65.22407765,III
SELANGOR,LANGAT,02 48 915,101 30 727,19,1L02,LANGAT,01-Jul-16,67.5,5.06,16,41,46,7.54,<0.01,30.52,413,0.19,34.5,267,313,4.95,101.81,0.07,0.001453954,0.000291802,<0.001,0.002528881,<0.01,<0.01,21.387,0.055,9.595,8.709,58.737,<1,<0.05,200,1900,74.783125,43.19655446,52.47053984,100,73.74246054,96.34382,71.41497131,III
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,01-Jul-16,67.2,5.04,14,32,14,7.55,<0.01,30.1,266,0.12,23,187,201,NA,19.78,0.1,0.006659804,0.00028888,<0.001,0.002327338,<0.01,<0.01,17.023,<0.01,5.825,1.869,17.658,<1,<0.05,200,1600,74.3873104,48.60541138,61.04290335,100,89.39578585,96.254875,76.22101172,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,01-Jul-16,47.1,3.46,24,74,18,7.38,1.89,31.16,264,0.12,44.5,189,207,0.09,17.17,0.16,0.010721211,0.000317845,<0.001,0.001349391,<0.01,<0.01,24.515,1.272,5.681,1.697,15.543,<1,<0.05,2400,27000,45.2598778,26.45061261,29.27100857,31.27731178,87.22958698,97.60238,50.02676717,IV
SELANGOR,LANGAT,03 02 460,101 46 388,19,1L15,LANGAT,01-Jul-16,51.2,5.64,21,79,22,7.45,2.01,30.11,262,0.11,40.1,193,215,0.03,16.52,0.14,0.009268016,0.000271146,<0.001,0.001253997,<0.01,<0.01,25.527,0.965,5.654,1.727,15.532,<1,<0.05,5200,18500,51.4046544,31.92621399,26.63763382,29.66240936,85.12651283,97.089875,51.35741449,IV
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L02,LANGAT,05-Aug-16,29.1,2.23,10,36,80,7.30,2.25,29.18,340,0.16,80.1,239,319,4.32,38,0.02,0.003,0.0004,<0.001,<0.001,<0.01,0.06,19.4,0.37,9,6.1,29.3,<1,<0.05,200,32000,20.0808658,61.31057952,57.08938807,24.64486748,60.77251842,98.1155,50.39529574,IV
SELANGOR,LANGAT,02 51 334,101 40 876,19,1L03,LANGAT,05-Aug-16,61.5,4.70,12,48,50,7.46,4.44,29.17,256,0.12,30.8,172,222,0.37,17,<0.01,0.005,0.0005,<0.001,<0.001,<0.01,0.05,22.4,0.12,6.7,1.8,19.3,<1,<0.05,2400,27000,66.550825,54.61994413,46.55891631,0,72.03654057,97.01182,55.63566239,III
SELANGOR,LANGAT,02 59 522,101 47 148,19,1L05,LANGAT,05-Aug-16,30.3,2.35,34,81,90,7.88,4.08,28.94,282,0.13,47.2,183,273,0.28,18,0.12,0.012,<0.0002,<0.001,<0.001,<0.01,0.06,27.4,0.62,6.6,1.6,20.6,<1,<0.05,100000,1230000,21.5840746,13.24535548,25.6365252,0,57.56154032,92.64088,31.69371004,IV
