ID,LATITUDE,LONGTITUDE,RIVER,SMPDAT,YEAR,CLASS,DO,BOD,COD,SS,pH,AN,COND,SAL,DS,TS,TEMP,TUR,E-coli,Coliform,NO3,Cl,PO4,As,Hg,Cd,Cr,Pb,Zn,Ca,Fe,K,Mg,Na
43,2.693866,101.93366,LANGAT,9/1/2012,2012,I,0.756,0.022,0.021,0,0.621,0.01,0.00103,0.001,0,0.00016,0.262,0,0.00005,8.09E-07,0.002,0.00052,0.01943,0.00756,0.01593,0.0124,0.00166,0.04639,0.04048,0.00117,0.036,0.004,0.00027,0.000609927
44,2.693866,101.93366,LANGAT,13/3/2012,2012,I,0.64,0.022,0.04,0.003,0.562,0.002,0.00095,0.001,0,0.00029,0.323,0.005,0.00006,1.90E-06,0.003,0.00007,0,0.0127,0.01593,0.0124,0.00166,0.04639,0.0211,0.00081,0.053,0.004,0.00025,0.000511586
45,2.693866,101.93366,LANGAT,3/5/2012,2012,II,0.722,0.152,0.143,0.009,0.546,0,0.00082,0,0,0.00086,0.377,0.018,0.00011,9.68E-07,0.003,0.00002,0,0.00747,0.01593,0.0124,0.00166,0.04639,0.04908,0.00091,0.061,0.004,0.00023,0.000513675
46,2.463083,102.0554,LANGAT,5/7/2012,2012,II,0.723,0.043,0.07,0,0.61,0.006,0.00095,0.001,0,0.00012,0.288,0.001,0.00027,2.09E-06,0,0.0003,0,0.02064,0.01593,0.0124,0.00166,0.04639,0.0162,0.00109,0.016,0.004,0.00025,0.000586566
47,2.463083,102.0554,LANGAT,3/9/2012,2012,I,0.719,0.022,0.015,0,0.646,0,0.00103,0.001,0,0.00012,0.342,0.005,0.00003,8.51E-07,0.005,0.0003,0,0.02306,0.01593,0.0124,0.00166,0.04639,0.03113,0.00111,0.054,0.003,0.00026,0.000677974
48,2.463083,102.0554,LANGAT,7/11/2012,2012,I,0.738,0.022,0.015,0.001,0.577,0.001,0.00085,0.001,0,0.00004,0.227,0.002,0.00005,1.02E-06,0.003,0.00022,0,0.00766,0.01593,0.0124,0.00166,0.04639,0.06673,0.00078,0.043,0.003,0.0002,0.000470377
49,2.463083,102.0554,SEMENYIH,9/1/2012,2012,I,0.704,0.022,0.015,0.006,0.612,0.008,0.00069,0,0,0.00053,0.313,0.013,0.00007,7.98E-07,0.002,0.00037,0.018,0.03324,0.01593,0.0124,0.00166,0.04639,0.04631,0.00061,0.15,0.004,0.00015,0.000710598
50,2.463083,102.0554,SEMENYIH,13/3/2012,2012,II,0.602,0.043,0.052,0.013,0.52,0.002,0.00077,0,0,0.00127,0.477,0.018,0.00012,1.11E-06,0.003,0.00008,0,0.007,0.01593,0.0124,0.00166,0.04639,0.01924,0.00074,0.139,0.004,0.00017,0.000454659
51,2.463083,102.0554,SEMENYIH,3/5/2012,2012,II,0.665,0.13,0.143,0.023,0.463,0.002,0.00064,0,0,0.00234,0.436,0.052,0.00007,1.15E-06,0.005,0.00007,0,0.04632,0.01593,0.0124,0.00166,0.04639,0.03456,0.00066,0.146,0.004,0.00015,0.000552195
52,2.456616,102.07135,SEMENYIH,5/7/2012,2012,II,0.684,0.109,0.119,0.032,0.594,0.016,0.00079,0,0,0.00345,0.333,0.052,0.00008,1.22E-06,0.006,0.00022,0,0.04622,0.01593,0.0124,0.00166,0.04639,0.02498,0.00061,0.09,0.004,0.00014,0.000518564
53,2.456616,102.07135,SEMENYIH,3/9/2012,2012,II,0.683,0.043,0.052,0.004,0.623,0.004,0.00085,0.001,0,0.00037,0.375,0.01,0.0001,1.10E-06,0.003,0.0003,0.00057,0.05892,0.01593,0.0124,0.00166,0.04639,0.02878,0.00054,0.238,0.004,0.00012,0.000593529
54,2.456616,102.07135,SEMENYIH,7/11/2012,2012,II,0.691,0.022,0.033,0.022,0.582,0.004,0.00069,0,0,0.00226,0.332,0.055,0.00009,6.49E-07,0.004,0.00022,0,0.03567,0.01593,0.0124,0.00166,0.04639,0.05037,0.00054,0.171,0.004,0.00012,0.000376281
55,2.456616,102.07135,LUI,9/1/2012,2012,I,0.713,0.022,0.015,0.003,0.575,0.007,0.00095,0.001,0,0.00033,0.208,0.003,0.00016,1.79E-06,0.002,0.00037,0.02171,0.00355,0.01593,0.0124,0.00166,0.04639,0.04478,0.00099,0.136,0.004,0.00031,0.000591567
56,2.456616,102.07135,LUI,13/3/2012,2012,II,0.638,0.043,0.058,0.01,0.507,0,0.00087,0.001,0,0.00107,0.238,0.011,0.00008,1.65E-06,0.003,0.00006,0,0.007,0.01593,0.0124,0.00166,0.04639,0.02057,0.00074,0.126,0.003,0.00025,0.000449501
57,2.456616,102.07135,LUI,3/5/2012,2012,II,0.724,0.152,0.185,0.018,0.472,0.001,0.00079,0,0,0.00202,0.182,0.036,0.00008,1.68E-06,0.006,0.00002,0.00143,0.03427,0.01593,0.0124,0.00166,0.04639,0.0442,0.00082,0.147,0.004,0.00024,0.000557676
58,2.538366,102.036133,LUI,5/7/2012,2012,II,0.713,0.087,0.058,0.001,0.541,0.015,0.00095,0.001,0,0.00021,0.13,0.003,0.00014,1.15E-06,0.002,0.00037,0.00086,0.01093,0.01593,0.0124,0.00166,0.04639,0.02374,0.00103,0.077,0.004,0.00029,0.000584491
59,2.538366,102.036133,LUI,3/9/2012,2012,II,0.685,0.152,0.131,0,0.57,0,0.00098,0.001,0,0.00008,0.25,0,0.00006,1.29E-06,0.003,0.0003,0.00229,0.01391,0.01593,0.0124,0.00166,0.04639,0.03492,0.00091,0.185,0.003,0.00033,0.000625381
60,2.538366,102.036133,LUI,7/11/2012,2012,I,0.727,0.022,0.021,0.009,0.532,0.001,0.00087,0.001,0,0.00099,0.163,0.009,0,0,0.003,0.00022,0,0.00467,0.01593,0.0124,0.00166,0.04639,0.05025,0.00081,0.135,0.003,0.00025,0.000416714
61,2.538366,102.036133,LANGAT,9/1/2012,2012,II,0.522,0.022,0.027,0.09,0.555,0.005,0.00301,0.002,0.002,0.01172,0.244,0.185,0.00028,3.57E-06,0.006,0.00104,0.19457,0.03922,0.01593,0.0124,0.00166,0.04639,0.04531,0.00334,0.074,0.007,0.00051,0.00151298
62,2.538366,102.036133,LANGAT,4/2/2012,2012,II,0.531,0.022,0.027,0.008,0.557,0.119,0.00264,0.002,0.002,0.00251,0.237,0.035,0.0001,4.01E-06,0.008,0.00089,0.02857,0.02689,0.01593,0.0124,0.00166,0.04639,0.03525,0.00331,0.143,0.007,0.00033,0.001140045
63,2.538366,102.036133,LANGAT,13/3/2012,2012,II,0.645,0.065,0.1,0.057,0.562,0.029,0.00194,0.002,0.001,0.00716,0.281,0.115,0.00024,4.13E-06,0.006,0.00045,0.00514,0.02596,0.01593,0.0124,0.00166,0.04639,0.02682,0.00146,0.163,0.005,0.00035,0.000966022
64,2.5923,102.085316,LANGAT,5/4/2012,2012,III,0.622,0.174,0.198,0.079,0.486,0.057,0.0022,0.002,0.001,0.00999,0.306,0.324,0.00185,6.04E-06,0.008,0.00062,0.006,0.04716,0.01593,0.0124,0.00166,0.04639,0.11362,0.00278,0.116,0.006,0.00044,0.001683917
65,2.5923,102.085316,LANGAT,3/5/2012,2012,III,0.711,0.348,0.289,0.108,0.518,0.024,0.00173,0.001,0.001,0.01275,0.172,0.297,0.00131,0.000005234,0.008,0.00013,0.00429,0.0198,0.01593,0.0124,0.00166,0.04639,0.04791,0.00249,0.166,0.007,0.00024,0.000806273
66,2.5923,102.085316,LANGAT,12/6/2012,2012,III,0.498,0.065,0.046,0.062,0.561,0.118,0.00322,0.002,0.002,0.00905,0.347,0.062,0.00128,7.66E-06,0.006,0.00043,0.032,0.08834,0.01593,0.0124,0.00166,0.04639,0.09109,0.00376,0.07,0.011,0.00036,0.002055036
67,2.5923,102.085316,LANGAT,5/7/2012,2012,II,0.604,0.13,0.1,0.01,0.55,0.089,0.00233,0.002,0.002,0.00239,0.22,0.027,0.00009,2.64E-06,0.005,0.00067,0.02829,0.0494,0.01593,0.0124,0.00166,0.04639,0.02854,0.00228,0.035,0.007,0.00034,0.001220354
